Scenario	LinkType	NetworkLoad
T=TISCALI@C=0.002@A=0.6@S=HrSymm	internal	739.6793105975829
T=TISCALI@C=0.002@A=0.6@S=HrSymm	external	126.45752539581835
T=TISCALI@C=0.002@A=0.7@S=HrSymm	internal	727.314727991344
T=TISCALI@C=0.002@A=0.7@S=HrSymm	external	120.68194637253369
T=TISCALI@C=0.002@A=0.8@S=HrSymm	internal	698.928276197435
T=TISCALI@C=0.002@A=0.8@S=HrSymm	external	108.41399085802892
T=TISCALI@C=0.002@A=0.9@S=HrSymm	internal	663.5171651331814
T=TISCALI@C=0.002@A=0.9@S=HrSymm	external	91.58279671766523
T=TISCALI@C=0.002@A=1.0@S=HrSymm	internal	619.7719422426196
T=TISCALI@C=0.002@A=1.0@S=HrSymm	external	72.11479021315628
T=TISCALI@C=0.002@A=1.1@S=HrSymm	internal	569.2432669296788
T=TISCALI@C=0.002@A=1.1@S=HrSymm	external	49.981302704931366
T=TISCALI@C=0.002@A=0.6@S=HrSymm	internal	741.9984752456863
T=TISCALI@C=0.002@A=0.6@S=HrSymm	external	126.63475355556398
T=TISCALI@C=0.002@A=0.7@S=HrSymm	internal	724.3752891145648
T=TISCALI@C=0.002@A=0.7@S=HrSymm	external	120.3122787104155
T=TISCALI@C=0.002@A=0.8@S=HrSymm	internal	702.6115847355219
T=TISCALI@C=0.002@A=0.8@S=HrSymm	external	110.27731749323891
T=TISCALI@C=0.002@A=0.9@S=HrSymm	internal	667.4479290218947
T=TISCALI@C=0.002@A=0.9@S=HrSymm	external	93.44351674858106
T=TISCALI@C=0.002@A=1.0@S=HrSymm	internal	613.7643938994744
T=TISCALI@C=0.002@A=1.0@S=HrSymm	external	70.76132342163947
T=TISCALI@C=0.002@A=1.1@S=HrSymm	internal	569.0024240427247
T=TISCALI@C=0.002@A=1.1@S=HrSymm	external	50.32863515893297
